1923.8731	1924.0331	1923.9042	1923.9984 *
1923.9931	1924.2177	1924.0113	1924.1636 *
1925.8194	1926.0994	1925.8413	1926.0873
1926.0994	1926.8194	1926.6523	1926.7443	
1926.8194	1927.0594	1926.8428	1927.0579
1927.0594	1927.3135	1927.1081	1927.2916
1943	1943.24	1943.0895	1943.2222
1943.24	1943.4	1943.3139	1943.3848
1943.4	1943.68	1943.5109	1943.6453
1943.68	1943.9612	1943.8034	1943.9528
1991.0946	1991.2946	1991.1391	1991.1871
1991.2946	1991.4946	1991.3074	1991.432
1991.4946	1991.6736	1991.5455	1991.6199
1992.9093	1993.0293	1992.9463	1993.0201
1993.0293	1993.1586	1993.0553	1993.1337
1993.7148	1993.9148	1993.7362	1993.8818
1993.9148	1994.0219	1993.9435	1993.9848
1995.3752	1995.4829	1995.4069	1995.4673
1996.0595	1996.2195	1996.103	1996.1588
1996.2195	1996.2595	1996.2376	1996.2427
1996.2595	1996.4195	1996.2672	1996.3766
1996.4195	1996.6995	1996.5418	1996.6568
1996.6995	1996.8969	1996.8172	1996.8713
2055.371	2055.571	2055.412	2055.5306
2055.571	2055.691	2055.6089	2055.6668 *
2055.651	2055.851	2055.6862	2055.7659 *
2055.851	2055.931	2055.87	2055.9255
2055.931	2056.091	2055.9844	2056.037
2056.091	2056.291	2056.2221	2056.2668
2056.291	2056.491	2056.4245	2056.4803
2056.491	2056.7953	2056.6415	2056.7172
2058.6653	2058.8653	2058.7088	2058.7317
2058.8653	2059.2253	2058.9303	2059.1294
2059.2253	2059.3053	2059.2338	2059.2811
2059.3053	2059.5053	2059.3684	2059.4233
2059.5053	2059.6653	2059.5832	2059.6326
2059.6653	2060.0086	2059.8503	2059.8882
2065.8424	2065.9624	2065.8852	2065.9255
2065.9624	2066.1224	2066.0635	2066.0935
2066.1224	2066.3624	2066.2723	2066.3228
2066.3624	2066.6024	2066.5489	2066.5736 *
2066.5624	2066.6424	2066.6023	2066.6065 *
2066.6424	2066.6824	2066.6517	2066.6572
2066.6824	2066.7224	2066.7024	2066.7074
2066.7224	2066.8824	2066.7569	2066.8442
2066.8824	2067.1224	2066.994	2067.0264
2067.1224	2067.3224	2067.192	2067.2357
2067.3224	2067.4824	2067.3916	2067.4437
2067.4824	2067.6824	2067.5265	2067.5917
2067.6824	2067.846	2067.7836	2067.8339
2086.3272	2086.4472	2086.3482	2086.4189
2086.4472	2086.624	2086.5365	2086.6038

